                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),       metrics/mAP75(B),       metrics/mAP90(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.57019,                0.51672,                0.12831,                0.77172,                0.67973,                0.72234,                0.53693,                0.30276,                0.51354,                0.50549,                0.48023,                0.15039,              2.008e-05,              2.008e-05,              2.008e-05
                     83,                0.55573,                0.51374,                0.12795,                0.75903,                0.67864,                0.72191,                0.54217,                0.30861,                0.51606,                0.50419,                0.47434,                0.14675,             1.9081e-05,             1.9081e-05,             1.9081e-05
                     84,                0.56804,                 0.5054,                0.12776,                0.77059,                0.68561,                0.72014,                0.53964,                0.30775,                0.51323,                0.50718,                0.47656,                0.14679,             1.8082e-05,             1.8082e-05,             1.8082e-05
                     85,                0.55983,                0.50246,                0.12382,                0.77663,                0.69167,                0.72496,                  0.545,                0.31022,                0.51316,                 0.5054,                0.48284,                0.14772,             1.7083e-05,             1.7083e-05,             1.7083e-05
                     86,                0.56479,                 0.5072,                0.12739,                0.78179,                0.67912,                0.72178,                0.54327,                0.33479,                0.52095,                0.50488,                0.47673,                0.14811,             1.6084e-05,             1.6084e-05,             1.6084e-05
                     87,                0.56272,                0.49707,                0.12223,                0.75768,                0.67814,                0.72201,                 0.5393,                0.28783,                  0.514,                0.50151,                0.48676,                0.14839,             1.5085e-05,             1.5085e-05,             1.5085e-05
                     88,                  0.552,                0.49265,                0.12447,                0.77036,                0.68205,                0.72863,                0.54421,                0.34755,                0.52504,                0.50341,                0.46955,                0.14831,             1.4086e-05,             1.4086e-05,             1.4086e-05
                     89,                0.55356,                 0.4949,                0.12578,                0.78039,                0.67997,                0.72769,                0.53892,                0.31024,                 0.5192,                 0.5091,                 0.4756,                0.14867,             1.3087e-05,             1.3087e-05,             1.3087e-05
                     90,                0.56767,                 0.5067,                0.12424,                0.78616,                0.67588,                0.73222,                0.53919,                0.30413,                0.52043,                0.50318,                0.47536,                 0.1463,             1.2088e-05,             1.2088e-05,             1.2088e-05
                     91,                0.55467,                0.49568,                0.12468,                0.79482,                0.67328,                0.73226,                0.54428,                0.30274,                0.52109,                0.50369,                0.47715,                0.14575,             1.1089e-05,             1.1089e-05,             1.1089e-05
                     92,                0.54763,                0.49781,                0.11886,                 0.7727,                0.68604,                0.73075,                 0.5482,                0.30947,                0.52388,                0.50128,                0.47657,                0.14496,              1.009e-05,              1.009e-05,              1.009e-05
                     93,                0.55125,                 0.4927,                0.11919,                0.76962,                0.68314,                0.72802,                 0.5467,                0.33949,                0.52657,                0.49634,                0.48267,                0.14275,              9.091e-06,              9.091e-06,              9.091e-06
                     94,                0.54281,                 0.4934,                0.11796,                0.77203,                0.68431,                0.73398,                0.54371,                0.32017,                0.52414,                 0.4975,                0.47729,                 0.1413,              8.092e-06,              8.092e-06,              8.092e-06
                     95,                0.54198,                 0.4999,                0.11815,                 0.7751,                0.68641,                 0.7308,                0.54283,                0.32484,                0.52348,                0.49286,                0.48375,                0.14216,              7.093e-06,              7.093e-06,              7.093e-06
                     96,                 0.5338,                 0.4837,                0.11495,                0.78559,                0.68264,                 0.7349,                0.54429,                0.32471,                0.52766,                0.49595,                0.47162,                0.14316,              6.094e-06,              6.094e-06,              6.094e-06
                     97,                0.54849,                0.48736,                0.11723,                0.77807,                0.68196,                0.72713,                0.54481,                0.32304,                0.52472,                 0.4968,                0.47674,                0.14466,              5.095e-06,              5.095e-06,              5.095e-06
                     98,                0.55207,                0.49048,                0.11782,                0.77009,                0.69044,                0.73319,                0.54389,                0.31833,                0.52737,                0.49554,                0.47409,                0.14561,              4.096e-06,              4.096e-06,              4.096e-06
                     99,                0.54337,                 0.4821,                 0.1201,                0.77308,                0.68432,                0.73228,                0.54074,                0.32874,                0.52862,                 0.4916,                0.47461,                0.14161,              3.097e-06,              3.097e-06,              3.097e-06
                    100,                0.53825,                0.48897,                0.11305,                0.78002,                0.68751,                0.73528,                0.54109,                0.33714,                0.53004,                0.49461,                0.47199,                0.14447,              2.098e-06,              2.098e-06,              2.098e-06
