                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),       metrics/mAP75(B),       metrics/mAP90(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                 1.2115,                0.96231,                 1.2666,                0.80289,                0.69194,                0.75158,                0.56429,                0.22145,                0.52612,                 1.2742,                0.92049,                 1.2627,             0.00016991,             0.00016991,             0.00016991
                     92,                 1.1783,                0.93824,                 1.2405,                0.80702,                0.68978,                0.75599,                0.56743,                0.26735,                0.53097,                  1.264,                0.90985,                 1.2598,             0.00015576,             0.00015576,             0.00015576
                     93,                 1.1801,                0.93602,                 1.2521,                0.78868,                0.69377,                0.75356,                0.57709,                0.28166,                 0.5373,                 1.2268,                0.89819,                 1.2398,             0.00014161,             0.00014161,             0.00014161
                     94,                  1.184,                0.93249,                 1.2463,                 0.7834,                0.69703,                0.75134,                0.57027,                0.26165,                0.53036,                 1.2657,                0.90722,                 1.2649,             0.00012747,             0.00012747,             0.00012747
                     95,                 1.1681,                 0.9186,                 1.2358,                0.80279,                0.68739,                0.75686,                 0.5695,                 0.2741,                0.53325,                  1.246,                0.89851,                 1.2562,             0.00011332,             0.00011332,             0.00011332
                     96,                 1.1641,                0.92353,                 1.2406,                 0.7848,                0.68754,                0.75224,                0.57466,                 0.2848,                0.53499,                 1.2266,                0.88535,                 1.2411,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                 1.1504,                0.90823,                 1.2243,                 0.7775,                0.70573,                  0.758,                0.57597,                 0.3132,                0.53852,                 1.2324,                0.88295,                 1.2484,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                 1.1479,                0.90285,                 1.2158,                0.79943,                0.69089,                0.75571,                0.57413,                0.29523,                0.53732,                 1.2277,                0.88573,                 1.2427,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                 1.1312,                0.90068,                  1.218,                0.79162,                0.69662,                0.75632,                0.57765,                0.30306,                0.53882,                 1.2242,                0.88227,                 1.2416,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                 1.1391,                0.89229,                 1.2273,                 0.7826,                0.70582,                0.75568,                 0.5753,                0.29931,                0.53797,                 1.2313,                0.88329,                 1.2474,             4.2584e-05,             4.2584e-05,             4.2584e-05
